	heritability	standard error
Some pheno 101	0.2531919904274412	0.01727469073740723
Some pheno 102	0.2596391353044826	0.016671797704563448
Some pheno 103	0.25123156214292514	0.016603995061951572
Some pheno 104	0.2582222380251187	0.016620821363313512
Some pheno 105	0.23633229732851618	0.016911452580239024
Some pheno 106	0.24667424938989743	0.017215733794972866
Some pheno 107	0.26903463901934815	0.017108449182051406
Some pheno 108	0.24592265775243563	0.016911445064667987
Some pheno 109	0.255244565260483	0.017038074126958406
Some pheno 110	0.26680075238622786	0.017058536168788684
