	Some pheno 101	Some pheno 102	Some pheno 103	Some pheno 104	Some pheno 105	Some pheno 106	Some pheno 107	Some pheno 108	Some pheno 109	Some pheno 110
Some pheno 101	1.0	-0.1941424503332551	0.28326745587338875	-0.3361802733199439	0.11282223580758442	-0.002295460950084129	-0.03886273886581647	0.0008691875726606753	0.05065175782913301	0.007218856959005621
Some pheno 102	-0.1941424503332551	1.0000000000000002	-0.5651229691830798	0.5218469241348064	-0.294297666743331	0.017040192739618643	0.026046067475279717	-0.0521246452506489	0.06224856062102158	0.018816516446051083
Some pheno 103	0.28326745587338875	-0.5651229691830798	1.0	-0.8933666606908078	0.37140930135811606	0.012014101905222615	-0.002014545011677506	-0.02023378869749375	-0.008185437611507146	0.04468130646268653
Some pheno 104	-0.3361802733199439	0.5218469241348064	-0.8933666606908078	1.0	-0.4289695967524449	-0.0005863879707582942	-0.03504207673503412	0.010745424972124497	-0.057851752145248105	0.004811950338293012
Some pheno 105	0.11282223580758442	-0.294297666743331	0.37140930135811606	-0.4289695967524449	1.0000000000000002	-0.012635606300177377	-0.029813656338803257	-0.0594553333215015	-0.04610002119191076	0.03629883589592699
Some pheno 106	-0.002295460950084129	0.017040192739618643	0.012014101905222615	-0.0005863879707582942	-0.012635606300177377	1.0	-0.5777723931942659	-0.8791111110431317	-0.15791928301014238	0.9427996622060124
Some pheno 107	-0.03886273886581647	0.026046067475279717	-0.002014545011677506	-0.03504207673503412	-0.029813656338803257	-0.5777723931942659	1.0000000000000002	0.5229370131925976	0.16085933964998336	-0.6097840392846832
Some pheno 108	0.0008691875726606753	-0.0521246452506489	-0.02023378869749375	0.010745424972124497	-0.0594553333215015	-0.8791111110431317	0.5229370131925976	0.9999999999999999	0.24056382731217393	-0.961352347705036
Some pheno 109	0.05065175782913301	0.06224856062102158	-0.008185437611507146	-0.057851752145248105	-0.04610002119191076	-0.15791928301014238	0.16085933964998336	0.24056382731217393	1.0	-0.24430342025768778
Some pheno 110	0.007218856959005621	0.018816516446051083	0.04468130646268653	0.004811950338293012	0.03629883589592699	0.9427996622060124	-0.6097840392846832	-0.961352347705036	-0.24430342025768778	1.0
