			estimate	standard error
genetic covariance	Some pheno 101	Some pheno 101	1.0096270935832112	0.07849911143396028
genetic covariance	Some pheno 101	Some pheno 102	-0.19766550154124726	0.0547693026967226
genetic covariance	Some pheno 101	Some pheno 103	0.28596715166588643	0.054803196528213007
genetic covariance	Some pheno 101	Some pheno 104	-0.34261832428012473	0.05517886554500954
genetic covariance	Some pheno 101	Some pheno 105	0.10944498358953357	0.05474632999347896
genetic covariance	Some pheno 101	Some pheno 106	-0.002289372768411804	0.055468335945222616
genetic covariance	Some pheno 101	Some pheno 107	-0.0408434839204128	0.056700737098732086
genetic covariance	Some pheno 101	Some pheno 108	0.0008669094816532694	0.05494772914678682
genetic covariance	Some pheno 101	Some pheno 109	0.051412870078775014	0.05923413809730711
genetic covariance	Some pheno 101	Some pheno 110	0.007526984505633264	0.05657427130924789
genetic covariance	Some pheno 102	Some pheno 102	1.0267382645376328	0.07566587838179378
genetic covariance	Some pheno 102	Some pheno 103	-0.5753230877189089	0.05806561359605972
genetic covariance	Some pheno 102	Some pheno 104	0.5363284860672203	0.05378817053130744
genetic covariance	Some pheno 102	Some pheno 105	-0.2878971416562556	0.05566258267934754
genetic covariance	Some pheno 102	Some pheno 106	0.01713840817499016	0.05443770456676158
genetic covariance	Some pheno 102	Some pheno 107	0.027604565298931977	0.05767769198101564
genetic covariance	Some pheno 102	Some pheno 108	-0.05242672542970373	0.05477826040302364
genetic covariance	Some pheno 102	Some pheno 109	0.06371710218019327	0.0543672886331124
genetic covariance	Some pheno 102	Some pheno 110	0.01978523375350098	0.056605311801555175
genetic covariance	Some pheno 103	Some pheno 103	1.0094340237032575	0.07609306478805973
genetic covariance	Some pheno 103	Some pheno 104	-0.9103881015939175	0.058592879743925595
genetic covariance	Some pheno 103	Some pheno 105	0.3602569812109632	0.06263894880732791
genetic covariance	Some pheno 103	Some pheno 106	0.01198109153618664	0.05519113124968772
genetic covariance	Some pheno 103	Some pheno 107	-0.0021170193239128795	0.0554287192000572
genetic covariance	Some pheno 103	Some pheno 108	-0.020178827428171824	0.054209590227277185
genetic covariance	Some pheno 103	Some pheno 109	-0.008307640612802461	0.05457617672850166
genetic covariance	Some pheno 103	Some pheno 110	0.04658401533461241	0.05838891174149181
genetic covariance	Some pheno 104	Some pheno 104	1.0287639208586359	0.07605985218394828
genetic covariance	Some pheno 104	Some pheno 105	-0.42005391369265477	0.053601437195814165
genetic covariance	Some pheno 104	Some pheno 106	-0.0005903492562769901	0.054511743281430124
genetic covariance	Some pheno 104	Some pheno 107	-0.03717547926745126	0.05543058978872878
genetic covariance	Some pheno 104	Some pheno 108	0.01081835441560841	0.055244184527268085
genetic covariance	Some pheno 104	Some pheno 109	-0.05927495159481301	0.05482595999575467
genetic covariance	Some pheno 104	Some pheno 110	0.005064669221924318	0.05777321685913894
genetic covariance	Some pheno 105	Some pheno 105	0.9320545280285185	0.07497518238351429
genetic covariance	Some pheno 105	Some pheno 106	-0.012108291044258195	0.05460962601065779
genetic covariance	Some pheno 105	Some pheno 107	-0.030105426123766186	0.05576190417575668
genetic covariance	Some pheno 105	Some pheno 108	-0.05697590405555316	0.05368929784730525
genetic covariance	Some pheno 105	Some pheno 109	-0.04495920405281842	0.05441514602735999
genetic covariance	Some pheno 105	Some pheno 110	0.036365155180595736	0.05483275031076627
